Year,ticket_geo_region_name,Food_type,Distribution
2020,Baden-Württemberg,Hochzeit Buffet,0.03
2020,Baden-Württemberg,Hochzeit Bar,0.35
2020,Baden-Württemberg,Hochzeit Essen,0.62
2020,Bayern,Hochzeit Buffet,0.0
2020,Bayern,Hochzeit Bar,0.46
2020,Bayern,Hochzeit Essen,0.54
2020,Berlin,Hochzeit Buffet,0.0
2020,Berlin,Hochzeit Bar,0.0
2020,Berlin,Hochzeit Essen,1.0
2020,Brandenburg,Hochzeit Buffet,0.0
2020,Brandenburg,Hochzeit Bar,0.0
2020,Brandenburg,Hochzeit Essen,0.0
2020,Bremen,Hochzeit Buffet,0.0
2020,Bremen,Hochzeit Bar,0.0
2020,Bremen,Hochzeit Essen,0.0
2020,Deutschland,Hochzeit Buffet,0.11
2020,Deutschland,Hochzeit Bar,0.31
2020,Deutschland,Hochzeit Essen,0.58
2020,Hamburg,Hochzeit Buffet,0.0
2020,Hamburg,Hochzeit Bar,0.0
2020,Hamburg,Hochzeit Essen,0.0
2020,Hessen,Hochzeit Buffet,0.0
2020,Hessen,Hochzeit Bar,0.2
2020,Hessen,Hochzeit Essen,0.8
2020,Niedersachsen,Hochzeit Buffet,0.0
2020,Niedersachsen,Hochzeit Bar,0.39
2020,Niedersachsen,Hochzeit Essen,0.61
2020,Mecklenburg-Vorpommern,Hochzeit Buffet,0.0
2020,Mecklenburg-Vorpommern,Hochzeit Bar,0.0
2020,Mecklenburg-Vorpommern,Hochzeit Essen,0.0
2020,Nordrhein-Westfalen,Hochzeit Buffet,0.09
2020,Nordrhein-Westfalen,Hochzeit Bar,0.17
2020,Nordrhein-Westfalen,Hochzeit Essen,0.74
2020,Rheinland-Pfalz,Hochzeit Buffet,0.0
2020,Rheinland-Pfalz,Hochzeit Bar,0.0
2020,Rheinland-Pfalz,Hochzeit Essen,1.0
2020,Saarland,Hochzeit Buffet,0.0
2020,Saarland,Hochzeit Bar,0.0
2020,Saarland,Hochzeit Essen,0.0
2020,Sachsen,Hochzeit Buffet,0.0
2020,Sachsen,Hochzeit Bar,0.0
2020,Sachsen,Hochzeit Essen,0.0
2020,Sachsen-Anhalt,Hochzeit Buffet,0.0
2020,Sachsen-Anhalt,Hochzeit Bar,0.0
2020,Sachsen-Anhalt,Hochzeit Essen,0.0
2020,Schleswig-Holstein,Hochzeit Buffet,0.0
2020,Schleswig-Holstein,Hochzeit Bar,0.0
2020,Schleswig-Holstein,Hochzeit Essen,0.0
2020,Thüringen,Hochzeit Buffet,0.0
2020,Thüringen,Hochzeit Bar,0.0
2020,Thüringen,Hochzeit Essen,0.0
